acteur,ligne,sentiment
Joey,"Hey, how was your chef thing?",0.0
Monica,"Oh, it was awful.  I guess some people just don't appreciate really good food.",-0.7833
Chandler,"Well, maybe it was the kind of food that tasted good at first but then made everybody vomit and have diarrhea.",0.3612
Monica,Chandler!,0.0
Chandler,Monica.,0.0
Monica,"Okay, I'd like to know how much the room was because I'd like to pay my half.",0.6705
Chandler,"Okay, fine, $300.",0.4019
Monica,300 dollars?!,0.0
Chandler,"Yeah, just think of it as $25 per room!",0.3595
Monica,Urghh!!,0.0
Joey,What are you guys woofing about?,0.0
Monica,Chandler stole a twenty from my purse!,0.0
Joey,"Nooooo!!! Y'know what? Now that I think about it, I constantly find myself without twenties and you always have lots!",0.0
Ross,You should've seen the look on her face. I don't want Rachel to hate me! I don't know what to do.,-0.6386
Joey,You want my advice?,0.0772
Ross,Yes! Please!,0.6792
Joey,You're not gonna like it.,-0.2755
Ross,That's okay.,0.2263
Joey,You got married to fast.,0.0
Ross,That's not advice!,0.0
Joey,I told ya.,0.0
Ross,I'm going to the bathroom.,0.0
Joey,"Man, if anyone asked me to give up any of you, I couldn't do it.",0.0
Chandler,"Yeah, me either.",0.296
Phoebe,"Yeah, me either.",0.296
Monica,Maybe I could do it.,0.0
Rachel,Hi!,0.0
Joey,"Hi, Rach.",0.0
Chandler,Hi!,0.0
Phoebe,Hey.,0.0
Monica,Hey.,0.0
Rachel,"Look, I know you guys heard about the whole thing with me and Ross but y'know, I've been obsessing about it all day and I'd just love not to talk about it. All right?",0.5719
Joey,"I-I-I don't know if this falls under this category, but uh, Ross is right back there.",0.0
Rachel,That's not Ross!,0.0
Phoebe,Oh no! Not that guy! He does look like him though.,0.2225
Chandler,"Okay, Ross is in the bathroom.",0.2263
Rachel,"Oh my God, its happening. It's already started. I'm Kip.",0.2732
Joey,"Hey, you're not Kip!",0.0
Rachel,Do you even know who Kip is?,0.0
Joey,Who cares? You're Rachel!  Who's Kip?,0.565
Chandler,"Kip, my old roommate, y'know we all used to hang out together.",0.0
Joey,"Oh, that poor bastard.",-0.765
Rachel,"See? Yeah, you told me the story. He and Monica dated when they broke up they couldn't even be in the same room together and you all promised that you would stay his friend and what happened? He got phased out!",0.6958
Monica,You're not gonna be phased out!,0.0
Rachel,"Well, of course I am! It's not gonna happen to Ross! He's your brother.  He's your old college roommate. Ugh, it was just a matter of time before someone had to leave the group. I just always assumed Phoebe would be the one to go.",-0.3365
Phoebe,Ehh!!,0.0
Rachel,"Honey, come on! You live far away! You're not related. You lift right out.",0.0
Chandler,Hey!,0.0
Joey,"Hey, Mr. Bing. That uh, hotel you stayed at called. Said someone left an eyelash curler in your room.",0.0
Chandler,Yes that was mine.,0.4019
Joey,'Cause I figured you'd hooked up with some girl and she'd left it there.,0.0
Chandler,Yes that would have made more sense.,0.4019
Joey,"Y'know, I-I don't even feel like I know you anymore man! All right, look, I'm just gonna ask you this one time. And whatever you say, I'll believe ya.  Were you, or were you not on a gay cruise?!",-0.4007
Rachel,Phoebe?  I'm sorry about the whole lifting out thing.  You gotta come with me!,-0.1511
Phoebe,Come where?,0.0
Rachel,"Wherever I go. Come on you and me, we'll-we'll start a new group, we're the best ones.",0.6369
Phoebe,"Okay, but try and get Joey too.",0.1154
Ross,"Pheebs, you mind if I speak to Rachel alone for a sec?",-0.25
Phoebe,"Oh, sure!  Bye Ross!  Forever.",0.4374
Ross,Hi.,0.0
Rachel,Hi. What are you doing here? Isn't this against the rules?,0.0
Ross,"I talked to Monica, look, I'm the one who made the choice. I'm the one who's making things change, so I should be the one to y'know, step back.",0.0
Rachel,"Oh, Ross…",0.0
Ross,"No, no, it's okay. Really. They're plenty of people who just see their sisters at Thanksgiving and just see their college roommates at reunions and just see Joey at Burger King. So is, is that better?",0.1027
Rachel,"No, it's not better. I still don't get to see you.",-0.5583
Ross,"Well, what-what would you do? Rach, if you were me, what-what would you do?",0.3527
Rachel,"Well, for starters I would've said the right name at my wedding!",0.3382
Ross,I can't believe this is happening.,0.0
Rachel,I know.,0.0
Ross,I am so sorry.,-0.1513
Rachel,I know that too.,0.0
Joey,"Hey, Rach? Sorry to interrupt but umm, Phoebe wanted me to talk to you about a trip or something.",-0.2144
Chandler,Hey!,0.0
Monica,Hi.,0.0
Chandler,"I just came over to drop off…nothing. So that weekend kinda sucked, huh?",-0.5868
Monica,"Yeah, it did.",0.296
Chandler,"So, I guess this is over.",0.0
Monica,What?,0.0
Chandler,"Well, y'know, you and me, it had to end sometime.",0.2732
Monica,"Why, exactly?",0.0
Chandler,"Because of the weekend, we had a fight.",-0.3818
Monica,Chandler that's crazy! If you give up every time you'd have a fight with someone you'd never be with anyone longer than—Ohhh!,-0.6792
Chandler,"So, this isn't over?",0.0
Monica,"You are so cute! No. No, it was a fight. You deal with it and move on! It's nothing to freak out about.",-0.2188
Chandler,Really? Okay. Great!,0.7823
Monica,"Ohh, welcome to an adult relationship!",0.5093
Chandler,We're in a relationship?,0.0
Monica,I'm afraid so.,0.0
Chandler,Okay.,0.2263
Phoebe,Hey!,0.0
Monica,Hey!,0.0
Phoebe,"Oh hey, Monica, I heard you saw Donald Trump at your convention.",0.0
Monica,"Yeah, I saw him waiting for an elevator.",0.296
Monica,"Hey, Rach, can I borrow your eyelash curler, I think I lost mine.",-0.3182
Rachel,"Yeah, it's in there.",0.296
Joey,Oh! Ohh! Oh!!,0.0
Chandler,"Joey, can I talk to you for a second?",0.0
Joey,Oohh!! Ohh! Oh-oh-oh! Oh-oh!!,0.0
Joey,Ohhhhhhhhhhh!!!!!!!,0.0
Chandler,Yes. Yes.,0.6597
Joey,You?!  And-and you?!,0.0
Monica,"Yes, but you cannot tell anyone! No one knows!",0.5812
Joey,How?! When?!,0.0
Chandler,It happened in London.,0.0
Joey,IN LONDON!!!,0.0
Chandler,The reason we didn't tell anyone was because we didn't want to make a big deal out of it.,-0.0572
Joey,But it is a big deal!! I have to tell someone!,0.0
Chandler,No-no-no-no-no! You can't!,0.0
Monica,"Please? Please?! We just don't want to deal with telling everyone, okay? Just promise you won't tell.",0.7278
Joey,"All right! Man, this is unbelievable! I mean, it's great, but…",0.7568
Monica,"I know, it's great!",0.6588
Joey,"Aww, I don't want to see that!",-0.1316
Phoebe,We're so stupid! Do you know what's going on in there? They're trying to take Joey! Ending Credits,-0.417
Phoebe,"The most popular Phoebe in tennis is called the overhand Phoebe. And if you win, you must slap your opponent on the Phoebe and say, ""Hi, Phoebe!""",0.831
Monica,"Oh that's cute! We really all enjoyed it. But y'know, it doesn't count.",0.5546
Phoebe,Count for what?,0.0
Monica,Count in our heads as-as good Madlibs.,0.4404
Joey,I guess I'm done.,0.0
Chandler,Fun's over!,0.0
Monica,"Wait-wait, guys! If-if we follow the rules, it's still fun and it means something!",0.5972
Rachel,Uh-huh!,0.0
Joey,I think I'm gonna take-off.,0.0
Monica,"Guys, rules are good! Rules help control the fun!  Ohhh! End contrl08.gif",0.8682
Joey,Hey.,0.0
Chandler,Hey. Hold on a second. [shoots a goal] Huh?,0.0
Joey,"Nice, nice. Hey I got somethin' for you. [hands Chandler an envelope.",0.6808
Chandler,What's this?,0.0
Joey,Eight hundred and twelve bucks.,0.0
Chandler,"Well, I don't know what Big Leon told ya but it's an even thousand if you want me for the whole night. What is this for?",0.25
Joey,"Well, I'm makin money now and this is payin' you back for head shots, electric bills, and so many slices of pizza I can't even count. I love ya man.",-0.3111
Chandler,"Well, thanks man. Now I can get my pony.",0.6124
Joey,"Hey, this is a little extra somethin' for uh, ya know, always bein' there for me. [hands Chandler a jewelry box]",0.0
Chandler,"Wow, I don't know what to say. [opens the box and pulls out an incredibly gaudy gold bracelet] Wow, I, I don't know what to say.",0.8225
Joey,"Heh, what d'ya say?",-0.1531
Chandler,I don't know. It's a bracelet.,0.0
Joey,"Isn't it? And it's engraved too, check it out.",0.0
Chandler,[reads] To my best bud. [puts it back in the case] Thanks best bud.,0.9062
Joey,Put it on.,0.0
Chandler,"Oh, now? [puts it in his desk drawer] No, no, I think something this nice should be saved for a special occasion. [sets a chair in front of the drawer]",0.6542
Joey,"Oh, no no, that's the beauty part, it goes with everything. [gets the bracelet from the drawer] You put this on, you're good to go. [puts the bracelet on Chandler] Ohhh man, you are so wearin' that bracelet.",0.5106
Chandler,I so am.,0.0
Joey,You have any idea what this'll do for your sex life?,0.0
Chandler,"Well, it'll probably slow it down at first but, once I get used to the extra weight, I'll be back on track. OPENING TITLES",0.1406
Interviewer,"Well, this all looks good.",0.6124
Monica,Great.,0.6249
Interviewer,And if I want to call for a reference on your last job?,0.0772
Monica,"Oh, that's there on the bottom, see the manager, Chandler Bing.",0.0
Interviewer,"Alright, lets see if you're as good in person as you are on paper. Make me a salad.",0.5994
Monica,"A salad? Really I, I could do something a little more complicated if you like.",0.3612
Interviewer,"No, just a salad will be fine.",-0.1027
Monica,You got it.,0.0
Interviewer,"Now, I want you to tell me what you're doing while you're doing it.",0.0772
Monica,"Alright, well I'm tearing the lettuce.",0.4767
Interviewer,Uh-huh. Is it dirty?,-0.4404
Monica,"Oh-oh, no no don't worry, I'm gonna wash it.",-0.2486
Interviewer,"Don't, I like it dirty.",0.0762
Monica,That's your call.,0.0
Interviewer,"So, uh, what are you going to do next?",0.0
Monica,"Well, I thought that I would cut up the tomatos.",0.0
Interviewer,"Are they, uh, firm?",0.0
Monica,They'r alright.,0.25
Interviewer,"You sure they haven't gone bad? You're sure they're not very, very bad?",0.8645
Monica,"No really, they're OK.",0.2527
Interviewer,You gonna slice them up real nice?,0.4215
Monica,"Actually, I was gonna do them jullienne.",0.0
Interviewer,Aaaahhhhhhh.,0.0
Monica,I'm outa here. [Monica leaves],0.0
Ross,"Y-ello. No, Rachel's not here right now, can I take a message? Alright, and how do we spell Casey, is it like at the bat or and the Sunshine Band? OK, bye-bye. Hey, who's this uh, this Casey?",0.8391
Phoebe,"Oh, some guy she met at the movies.",0.0
Ross,"Oh really? What uh, what does he want with her?",0.168
Chandler,"Well, I'm guessing he wants to do a little dance. . . ya know, make a little love. . . well pretty much get down tonight.",0.8678
Ross,"[puts the message in the cupboard] I don't know, I don't get, I don't get it, I mean, wh, wh, two months ago Rachel and I were like, this close. Right now, what, I'm takin messages from guys she, she meets at the movies? I mean this, this Casey should be takin' down my messages, ya know, or, or, Rachel and I should be together and, and we should get some kind of me, message service.",0.3612
Phoebe,"Hang in there, it's gonna happen.",0.0
Ross,"Wha, OK, now how do you know that?",0.4466
Phoebe,Because she's your lobster.,0.0
Chandler,"Oh, she's goin' somewhere.",0.0
Phoebe,"C'mon you guys. It's a known fact that lobsters fall in love and mate for life. You know what, you can actually see old lobster couples walkin' around their tank, ya know, holding claws like. . .",0.7717
Chandler,"Hey, you feelin' better?",0.4404
Monica,"Yeah, I think that fifth shower actually got the interview off me.",0.296
Phoebe,"So, do you have any other possibilities?",0.0
Monica,"Oh yeah, well there's the possibility that I won't make rent.",0.5106
Ross,"Monica, if you want, I can lend you some money.",0.0772
Monica,"No no no, if I couldn't pay you back right away then I'd feel guilty and tense every time I saw you.",-0.8592
Ross,"Oh OK. Well then why don't you, uhh, why don't you borrow it from mom and dad? You feel guilty and tense around them already. You might as well make some money off of them.",0.2342
Chandler,"Ya know, the man's got a point. [gestures with his arm and the bracelet falls off]",0.0
Phoebe,What is that sparkly thing?,0.0
Chandler,"That thing, it's a uhh. . . yeah it's, it's a little flashy.",0.296
Ross,"No no, no no, it's not flashy, not for a Goodfella.",-0.7783
Monica,"Man, man that is sharp. It must have cost you quite a few debloons.",0.0
Monica,Hi. MR. GELLER: Hi. MRS. GELLER: Hi darling.,0.5859
Monica,"So, what's this. MR. GELLER: Some of your old stuff. MRS. GELLER: Well sweetie, we have a surprise for you. We're turning your room into a gym.",0.7506
Monica,"Wow, that is a surprise. Just one little question, uh, why not Ross's room?",0.7096
Monica,"Oh, God forbid.",-0.0516
Rachel,Hi.,0.0
Rachel,"Oh, well, you know, they're just separated so, you know, never know, we'll see. MR. GELLER: Well, I can't say any of us were surprised. Your parents have been unhappy ever since we've known them. Especially after that incident in Hawaii.",0.3182
Rachel,"What, what incident?",0.0
Phoebe,Do you want a refill?,0.0772
Chandler,"No, I'm alright, thanks.",0.4019
Phoebe,"OK. Ooh, OK, you gotta give me a second, I wanna get this just right. [she sticks out her gut, clears her throat and sniffs her nose and then in her best male voice. . .] Dude, 11 o'clock, totally hot babe checkin' you out. That was really good, I think I'm ready for my penis now.",0.9438
Chandler,"[walks over to the woman] I know what you're thinking, Dave Thomas, founder of Wendy's.",0.0
Gail,I'm Gail.,0.0
Chandler,"Chandler. [waves his arm around, exposing the bracelet]",-0.2732
Gail,"I, I really have to be somewhere but it was nice meeting you.",0.5719
Chandler,"What? [realizes it was the bracelet] Oh this is excellent. You know he coulda gotten me a VCR, he coulda gotten me a set of golf clubs, but no, he has to get me the woman repeller, the eyesore from the Liberace house of crap.",-0.5927
Phoebe,It's not that bad.,0.431
Chandler,"Oh, yeah, easy for you to say, you don't have to walk around sporting some reject from the Mr. T collection. [Joey walks in behind Chandler]",0.34
Phoebe,"Chandler, Chandler.",0.0
Chandler,"I pity the fool who puts on my jewelry, I do, I do. I pity the fool that. . . [turns around and sees Joey] Hi. Hey man, we were just doin' some uhh, impressions over here. Do your Marcel Marceau. [Joey turns around and walks out without saying anything] That's actually good.",-0.6597
Ross,"Would you look at that guy, I mean how long has he been talking to her. It's like, back off buddy she's a waitress not a geisha.",0.3612
Phoebe,I think she's OK.,0.4466
Ross,"[Rachel, laughing, puts a hand on the guy's shoulder] Look at that, look at that, see how she's pushing him away and he won't budge. Alright, I'm gonna do something. [walks up in the middle of their conversation] Excuse me, are you Rachel?",0.7149
Rachel,What?,0.0
Ross,"I'm Ross Geller. Wha, I'm, God in your add you said you were pretty but wow.",0.8338
Rachel,"What are you, what are you doin'?",0.0
Ross,"Oh, oh my God, is this the wrong day? I don't believe it, uh, well, hey, I guess if it works out we'll, we'll have something to tell the grandkids.",0.0258
Man,"Sure will. I've uh, gotta go. Take care.",0.6705
Ross,"OK, see ya later, nice meeting you. [man leaves] You're welcome.",0.8286
Rachel,What?,0.0
Ross,I was saving you.,0.0
Rachel,"Saving, saving, saving me from the pleasant conversation with the interesting man, saving me?",0.7184
Ross,"Oh, see from where I was sitting I uh. . .",0.0
Rachel,"OK, Ross, listen to me, I am not yours to save.",0.0785
Ross,"But, you are.",0.0
Rachel,What?,0.0
Ross,"Uh, uh, well you're, umm, you're my lobster.",0.2732
Rachel,"OK, you know what, are, are you being like, the blind date guy again?",0.4084
Ross,"No no, you're uh, you're my lobster. See um, lobsters, uhh, in the tank when, when they're old, uhh, they get with, uhh, they walk around holding the claws. In the tank, ya know, with, with the holding and. . . Uhh, Phoebs you wanna help me out with the, the whole lobster thing?",-0.1779
Phoebe,Do the claws again.,0.0
Ross,"Rach. OK, forget, forget the lobsters OK. We're, let's talk, what about us?",0.4707
Rachel,"Ross, there is no us, OK.",0.186
Ross,"No, but. . .",-0.1531
Rachel,"No, listen to me. I fell for you and I get clobbered. You then fall for me and I again, somehow, get clobbered. I'm tired of being clobbered, ya know, it's, it's just not worth it.",-0.6971
Ross,"Well, but, but. . .",0.1406
Rachel,"NO but Ross. We are never gonna happen, OK. Accept that.",-0.1808
Ross,"E-except, except that what?",0.0
Rachel,"No, no, ACC-cept that.",-0.5267
Ross,Oh.,0.0
Chandler,"Hey man, look it's my best bud. How ya doin? [Joey doesn't respond] Wow, you are really gettin' good at that Marcel Marceau thing. Hey, whaddya say uh, we play some ball, you and me, huh, whaddya say? [Throws a basketball to Joey. Joey doesn't move to catch it and the ball takes out a lamp] OK, that's my bad.",0.7579
Joey,"If you hated the bracelet so much, Chandler, you should have just said so.",-0.6369
Chandler,"Well, doesn't the fact that I wore the bracelet even though I hated it say something about our friendship and how much it means to me?",-0.0516
Joey,"Well, what about the fact that you insulted the bracelet and you made fun of me?",0.2732
Chandler,"OK, well that's the part where I'm a wank. But I was hoping we wouldn't focus on that. [Joey goes to his room and shuts the door] Hey, c'mon man, I said I was sorry like a hundred times, I promise I will never take it off my. . . [notices the bracelet is missing from his wrist] wrist. But if, if you want to stay in there and be mad, you know, you just uh, you stay in there. [he starts searching the room, lifting up the couch cushions]",0.6504
Joey,"You know what the. . . [sees Chandler on his knees, holding the couch cushions]",0.0
Chandler,"I am here, on my knees, holding up these couch cushions as a symbol of my sorrow and regret, much like they did in biblical times. Though you may haveth anger now. . . [Joey returns to his room]",-0.8126
Ross,"Hey guys. MRS. GELLER: Hi, darling. Where's my grandson, you didn't bring him?",0.5859
Ross,"No, he's at uh, Carol's and Susan's today. MR. GELLER: A woman in my office is a lesiban. I'm just saying.",-0.296
Monica,Where have you been?,0.0
Ross,"Emotional hell. So, did they lend you the money yet?",-0.6124
Monica,"No, but that's probably 'cause I haven't asked them yet.",-0.1531
Ross,"C'mon Monica, do it. Hey, you guys, um, Monica has some news.",0.0
Monica,"Um, yeah, so uh, uhh, listen, I'm sorry I didn't tell you this before but umm, I, I'm no longer at my job, I, I had to leave it. MRS. GELLER: Why?",-0.3919
Monica,"Because they made me. MRS. GELLER: You were fired? What're you gonna do? MR. GELLER: Judy, Judy, relax, this is our little harmonica we're talking about. We taught her well. Ten percent of your paycheck, where does it go?",0.3065
Monica,In the bank.,0.0
Ross,In the bank.,0.0
Monica,Anything larger back there?,0.0
Chandler,I can't believe it.,0.0
Phoebe,Would you stop already? Get out of the bitter barn and play in the hay.,-0.3818
Chandler,"Oh, you're right I, I should play in the hay. Forget about the fact that I just dropped 400 dollars to replace a bracelet that I hated to begin with. Bring on the hay. [sits down at the bar]",-0.5719
Rachel,[comes up from behind the bar and startles Chandler] Hey. I've got something that's gonna make you happy. Guess what Gunther found? [holds up Chandler's bracelet],0.4939
Phoebe,"Hey now you have two. [Chandler looks annoyed] Oh, now you have two.",0.0
Chandler,"What am I gonna do, huh? [Joey walks in behind him]",0.0
Joey,Hey.,0.0
Chandler,Hey.,0.0
Joey,How come you have two?,0.0
Chandler,Well this one's for you.,0.2732
Joey,Get out.,0.0
Chandler,"No, I can't. No no, listen, I, I know how much this means to you and I also know that this is about more than just jewelry, [puts bracelet on Joey] it's about you and me and the fact that we're [reading bracelet] best buds.",0.3995
Joey,"Wow, is this friendship? I think so. Check it out, we're bracelet buddies.",0.7717
Chandler,That's what they'll call us.,0.0
Ross,"Here you go, you can pay me back whenever you like.",0.2732
Monica,You have dinosaur checks?,0.0
Ross,"Yeah, yeah I mean, you get your money and you learn a little something, what's wrong with that?",0.144
Monica,"Nothin', nothin', hey you're a cheapasaurus. I'm kidding, I'm kidding, thank you, I'm very greatful.",0.5106
Phoebe,"[Standing in living room with Chandler and Joey. She pulls a huge bathing suit out of a box] Hey, Mon, what is this?",0.3182
Monica,"Oh, um, that was my bathing suit from high school. I was uh, a little bigger then.",0.0
Chandler,"Oh, I thought that's what they used to cover Connecticut when it rained.",0.0
Joey,"[pulls out a VCR tape] Hey Monica, what's on this video tape?",0.0
Monica,"Hey, you got me, put it in.",0.0
Ross,[Rachel enters] Oh.,0.0
Rachel,Hi.,0.0
Ross,Hi.,0.0
Rachel,Oh my God.,0.2732
Joey,What is with your nose?,0.0
Rachel,"They had to reduce it because of, of my deviated septum.",0.0
Chandler,"OK, I was wrong, that's what they used to cover Connecticut.",-0.0431
Monica,"You know what this is, this is us getting ready for the prom.",0.3612
Rachel,Oh.,0.0
Ross,"You know what, you guys, we don't have to watch this.",0.0
All,Oh yeah we do. C'mon. MRS. GELLER: Get a shot of Monica. Where's Monica.,0.296
Monica,"Over here dad. [he pans over and we see a torso taking up the whole screen] MR, GELLER: Wait, how do you zoom out? [zooms out and we see an extremely overweight Monica eating a big sandwich] There she is.",-0.4201
Joey,Some girl ate Monica.,0.0
Monica,"Shut up, the camera adds ten pounds.",0.0
Chandler,"Ahh, so how many cameras are actually on you?",0.0
Monica,"Oh, you look so great.",0.7384
Rachel,"Ahh, so do you, beautiful. [they hug]",0.6326
Monica,Oops.,0.0
Rachel,What?,0.0
Monica,"Shoot, I think I got mayonaise on you.",-0.34
Rachel,"Oh, that's OK, it's just the shoulder, it's not my dress. MR. GELLER: Everybody smile.",0.6633
Monica,"Oh, dad, turn it off. MR. GELLER: It is off.",0.0
Monica,"Dad, it is not. What's with the red light?",0.0
Joey,Lookin' good Mr. Cotter.,0.4404
Ross,You look pretty tonight.,0.4939
Rachel,"Oh, thanks. So, uh, what are you gonna do this summer?",0.4404
Ross,"Oh, you know, I'm just gonna, I'm gonna hang out, work on my music.",0.0
Rachel,"[the shoulders of her dress keep falling off her shoulders] Is my hook unhooked? These things keep falling down, I can't. . .",-0.296
Ross,"Uh, hold, let me see, I don't know. So what're you gonna do. . . [doorbell rings]",0.0
Rachel,"Oh, the guys are here.",0.0
Ross,this summer?,0.0
Chandler,Work on your music?,0.0
Rachel,"Oh my God, look there's Roy Gublik.",0.2732
Monica,"Ya know, Roy saw Star Wars 317 times. His name was in the paper.",-0.5574
Rachel,"Where's Chip, why isn't he here yet?",0.0
Roy,"He'll be here OK, take a chill pill. [Chip pins Monica's corsage on, Monica then turns and whispers to Rachel]",0.4466
Monica,I just told Rachel that Roy touched my boob.,0.0
Rachel,"I can't go to my own prom without a date, I can't, it's too late.",0.0
Monica,If you're not going then I don't want to go either.,-0.0572
Roy,"Oh, I'm gonna kick Chip's ass.",-0.5423
Ross,Doubtful.,-0.34
Ross,"Dad, she won't want to go with me. MR. GELLER: Of course she would, you're a college man.",-0.0572
Ross,I don't know.,0.0
Rachel,"I can't believe I don't get to go to my own prom, this is so harsh.",-0.5777
Ross,OK. Hold my board.,0.4466
Ross,"OK, you guys, ya know, I think we've seen enough, let's turn it off.",0.4466
All,"No, no, no.",-0.6808
Ross,"OK, fine, well I'm not gonna watch, alright. MR. GELLER: C'mon kid, let's go. MRS. GELLER: Ahh, are you hadsome. MR. GELLER: Let's show 'em.",0.624
Ross,"Uh, just a sec dad. [to himself] OK, be cool, just be cool. [walks down the stairs and grabs the flowers out of the vase on the endtable] OK dad.",0.8579
Monica,I can't believe you did that.,0.0
Ross,"Yeah, well.",0.5106
Phoebe,"See, he's her lobster. CLOSING CREDITS",0.4995
Monica,"Mom, I'm hungry.",0.0
Monica,Alright.,0.25
Both,"Oh, ohhhhh.",0.0
Joey,"Alright, no peeking. No peeking, no peeking, no peeking.",-0.7003
Chandler,"Alright, alright, but you better be wearing clothes when I open my eyes.",0.705
Joey,Alright open your eyes. [opens his eyes to see two black leather recliners and a big screen TV],0.25
Chandler,Sweet mother of all that is good and pure.,0.7096
Joey,Huh? Days of our Lives picked up my option.,0.0
Chandler,Congratulations!,0.636
Joey,I know.,0.0
Chandler,Now we can finally watch Green Acres the way it was meant to be seen.,0.0
Joey,Uh-huh.,0.0
Chandler,"So uh, which one is mine?",0.0
Joey,"Whichever one you want, man. Whichever one you want. [Chandler starts to sit in one of the chairs] Not that one.",0.1531
Chandler,[sits down] Ohh yes.,0.4019
Joey,"[sits down] Ohh yeah, that's the stuff.",0.296
Chandler,[reaches for the footrest lever] Do we dare?,0.0
Joey,We dare.,0.0
Both,[both extend the footrests] Aaahhhh. [both recline their chairs] AAAAHHHHHH. OPENING TITLES,0.1779
Phoebe,I can't believe two cows made the ultimate sacrifice so you guys could watch TV with your feet up.,0.0
Chandler,Well they were chair-shaped cows. They never would have survived in the wild.,-0.1536
Ross,"This screen is amazing, I mean Dick Van Dyke is practically life-size.",0.128
All,Woah!,0.0
Monica,"Rose Marie really belongs on a smaller screen, doesn't she?",0.0
Rachel,Hi you guys.,0.0
All,Hey.,0.0
Rachel,Hey you.,0.0
Ross,Hey you. [they stand together in front of the TV.],0.0
Chandler,"Woah, hey, yo. [Rachel and Ross move]",0.0
Joey,"Woah, hey, yo. [Rachel and Ross move]",0.0
Rachel,"So, uh, how was your day?",0.0
Ross,"Oh you know, pretty much the usual, uh, sun shining, birds chirping.",0.4939
Rachel,Really? Mine too.,0.0
Phoebe,"Hey cool, mine too.",0.3182
Ross,"[beeper goes off] Yeah, yeah, yeah. I got to get to the museum. So um, I'll see you tonight.",0.6808
Rachel,OK. [they go to kiss but everyone's watching so Ross just kisses her on the top of her head and leaves],0.8724
Ross,Bye guys.,0.0
All,Bye.,0.0
Monica,[walks up to Rachel in front of the TV] Tonight?,0.0
Chandler,"Hey, yo. [they move from out of in front of the TV]",0.0
Joey,"Hey, yo. [they move from out of in front of the TV]",0.0
Monica,What's tonight?,0.0
Rachel,It is our first official date. Our first date.,0.0
Monica,"Uh, hello.",0.0
Rachel,Hi.,0.0
Monica,"Tonight you're supposed to waitress for me, my catering thing, any of those words trigger anything for you?",0.0
Rachel,"God, oh God Monica, I forgot. This is our first date.",0.4939
Monica,Yes but my mom got me this job.,0.2144
Phoebe,"OK, I can be a waitress, I can be a waitress.",0.4466
Rachel,"Oh, thank you, thank you, thank you, thank you. See Phoebe, Phoebe.",0.8402
Monica,"Really Phoebs? Because, you know, you'd have to be an actual waitress. This can't be like your 'I can be a bear cub' thing.",-0.2755
Phoebe,"I can be a waitress. OK watch this. Um, gimme two number ones, 86 the bacon, one Adam and Eve on a raft and rick'em, la-la-la-la-la, la-la-la-la-la.",0.1613
Phoebe,It's James Bond.,0.0
Monica,"Sorry we're late. DR. BURKE: Ah, that's OK, come on in. Um, I'm sorry, is Monica Geller coming? I was told she was.",0.3254
Monica,"Dr. Burke, it, it's me.",0.0
Monica,Thank you. This is my friend Phoebe. She's gonna be helping me tonight.,0.7845
Monica,"I've been great, just great. How have you been? [tilting her head] DR. BURKE: Oh, well obviously you know Barbara and I split up, otherwise you wouldn't have done the head tilt.",0.8834
Monica,The head tilt?,0.0
Monica,I'm sorry.,-0.0772
Monica,"[her and Phoebe tilt their heads] Oh, that's too bad. DR. BURKE: [bobbing his head] I'll survive.",-0.5423
Chandler,"Uh, two larges, extra cheese on both. But listen, don't ring the buzzer for 19, ring 20, Geller-Green, they'll let you in, OK. If you buzz our door, there's no tip for you. OK, thanks. Pizza's on the way. I told you we wouldn't have to get up.",0.8705
Joey,What if we have to pee?,0.0
Chandler,I'll cancel the sodas.,-0.25
Monica,"You've got to get back out there, it's your party.",0.4019
Monica,You're an opthamologist.,0.0
Phoebe,"[entering the kitchen from the party] That's funny, no. Cadillac, cataract, I get it, no I get it, you stay out there. DR. BURKE: See.",-0.128
Monica,"Alright, I'll tell you what. I'll come get you in 5 minutes with some sort of um, kabob emergency.",-0.1531
Phoebe,You are so smitten.,0.0
Monica,I am not.,0.0
Phoebe,"Oh, you are so much the smitten kitten. You should ask him out.",0.0
Monica,"Dr. Burke? I don't think so. I mean, like, he's a grown up.",0.4173
Phoebe,So. You two are totally into each other.,0.0
Monica,"Phoebe, he's a friend of my parents. He's like 20 years older than me.",0.6908
Phoebe,"OK, so what, you're just never gonna see him again?",0.4466
Monica,"Not never. I mean, I'm gonna see him tomorrow at my eye appointment.",0.0
Phoebe,"Didn't you like, just get your eyes checked?",-0.2755
Monica,"Well yeah, but, you know, uh, 27 is a dangerous eye age.",-0.4588
Rachel,"C'mon, I'm not saying it was a bad movie, I'm just saying, you know, it was a little. . . hard to follow.",-0.5584
Ross,I told you there was going to be sub-titles.,0.0
Rachel,"I know, I just didn't want to wear my glasses on my first date.",-0.0572
Rachel,Monica.,0.0
Ross,It would really help when I'm kissing you if you didn't shout out my sister's name.,0.7713
Rachel,"Honey, I'm just checking.",0.0
Ross,Oh.,0.0
Rachel,Monica.,0.0
Ross,Mon.,0.0
Rachel,Monica.,0.0
Ross,Mon.,0.0
Ross,"What, what.",0.0
Rachel,"I'm sorry. Oh God, I'm sorry, it's just that when you moved your hands down to my butt, it was like woah, Ross's hands are on my butt. Sorry.",0.4019
Ross,"And that's, that's funny why?",0.4404
